Row,ID,Date,Start Time,Stop Time,Paper Order,Session,Paper Session Number,Session,Title,Type,Author list,Affiliation,Abstract
11,CCp129,6/22/15,15:30,17:00,10,4,3,Finding Inspriation,InkWell: A Creative Writer's Creative Assistant,paper,"Richard P. Gabriel, Jeffrey Nichols, Jilin Chen","IBM Research, San Jose California, USA","InkWell is a writer's assistant---a natural language revision program designed to assist creative writers by producing stylistic variations on texts based on craft-based facets of creative writing and by mimicking aspects of specified writers and their personality traits. It is built on top of an optimization process that produces variations on a supplied text, evaluates those variations quantitatively, and selects variations that best satisfy the goals of writing craft and writer mimicry. We describe the design and capabilities of InkWell, and present an early evaluation of its effectiveness and uses with two established literary writers along with an experiment using InkWell to write haiku on its own."
12,CCp237,6/22/15,15:30,17:00,11,4,3,Finding Inspriation,InspirationWall: Supporting Idea Generation Through Automatic Information Exploration,note,"Salvatore Andolina, Khalil Klouche, Diogo Cabral, Tuukka Ruotsalo, Giulio Jacucci","HIIT, Department of Computer Science, University of Helsinki, Helsinki , Finland","Collaborative idea generation leverages social interactions and knowledge sharing to spark diverse associations and produce creative ideas. Information exploration systems expand the current context by suggesting novel but related concepts. In this paper we introduce InspirationWall, an unobtrusive display that leverages speech recognition and information exploration to enhance an ongoing idea generation session with automatically retrieved concepts that relate to the conversation. We evaluated the system in six idea generation sessions of 20 minutes with small groups of two people. Preliminary results suggest that InspirationWall contrasts the decay of idea productivity over time and can thus represent an effective way to enhance idea generation activities."
13,CCp199,6/22/15,15:30,17:00,12,4,3,Finding Inspriation,A Playful Affinity Space for Creative Research,note,"Kam Star, Fotis Paraskevopoulos, Maria Taramigkou, Dimitris Apostolou, Marise Schot, Gregoris N. Mentzas","R&D, PlayGen, London , UK","We present a system designed with the aim to facilitate the social creativity processes underlying creative research. It provides asynchronous and synchronous facilities for multi-user interaction while leveraging creativity with computational tools for inspirational search, inspirational clue generation and problem solving advice. Initial evaluation with a small group of users indicated that the software is in-line with the creative research approach where users work together with concept developers taking on multiple roles throughout the design process."
14,,6/22/15,17:30,19:00,,,,Reception & Art Exhibit,Reception & Art Exhibit,event,,,
15,,6/23/15,9:00,10:30,,4,,Keynote Session 2,Keynote Session 2,keynote,Marcos Novak,"University of California, Santa Barbara","Marcos Novak is Professor and Vice Chair of the Media Arts and Technology Program at the University of California, Santa Barbara, where he directs the transLAB and is affiliated with the AlloSphere, Art, and CNSI. He is a global nomad, and an artist, theorist, and transarchitect. In 2008, ""Transmitting Architecture"", the title of his seminal 1995 essay, became the theme of the XXIII World Congress of the UIA (Union Internationale Des Architectes), the largest architectural organization in the world.  "
16,CCp999,6/23/15,11:00,12:30,13,6,4,Moments and Movements,Captured Moments: Defining a Communicative Framework for Social Photography,paper,Robin Avni,University of Washington,"As photography takes center stage on today's social media platforms, given the ease of modern capture devices (i.e. mobile phones, point and shoot cameras, tablets, etc.), the ability to produce and publish images occurs at a much quicker rate than the humble Kodak Brownie camera afforded the masses when introduced in January 1900. This enhanced ease has generated an opportunity for the everyday photographer to creatively communicate through the distribution of their images. This paper applies research results from a qualitative visual ethnographic study focusing on the non-verbal posts of a select group of Facebook users. The Dell Hymes' SPEAKING framework was used to structure the visual data\; analysis leveraged Gerry Philipsen's Speech Codes Theory and James W. Carey's Ritual Communication Theory contributes to the creation of a communicative framework for the non-verbal social media postings. In conclusion, what emerges through the data is a visual speech code that tacitly leverages traditional photographic genres while at the same time supporting a system of meanings and symbols that enhance the instantaneous posts and communications of the day-to-day ebb and flow of life."
17,CCp173,6/23/15,11:00,12:30,14,6,4,Moments and Movements,Strategies for Embodied Design: The Value and Challenges of Observing Movement,paper,"Sarah Fdili Alaoui, Thecla Schiphorst, Shannon Cuykendall, Kristin Carlson, Karen Studd, Karen Bradley","School of Interactive Arts + Technology, Simon Fraser University, Surrey British Columbia, Canada",
18,CCp172,6/23/15,11:00,12:30,15,6,4,Moments and Movements,Moment by Moment: Creating Movement Sketches with Camera Stillframes,paper,"Kristin Carlson, Thecla Schiphorst, Karen Cochrane, Jordon Phillips, Herbert Tsang, Tom Calvert","School of Interactive Arts + Technology , Simon Fraser University, Vancouver British Columbia, Canada",This paper applies research results from a qualitative visual ethnographic study focusing on the non-verbal posts of a select group of Facebook users. The Dell HymesÍ SPEAKING framework was used to structure the visual data; analysis leveraged Gerry PhilipsenÍs Speech Codes Theory and James W. CareyÍs Ritual Communication Theory contributes to the creation of a communicative framework for the non-verbal social media postings.
19,CCp194,6/23/15,11:00,12:30,16,6,4,Moments and Movements,Express it!: An Interactive System for Visualizing Expressiveness of Conductor_Ñés Gestures,paper,"Kyungho Lee, Donna Cox, Guy Garnett, Michael Junokas","Illinois Informatics Institue, University of Illinois at Urbana-Champaign, United States",
20,CCdp109,6/23/15,13:30,17:00,,7,,Posters and Demos,Designing creativity support tools for failure,poster,"Kim, Joy","Computer Science, Stanford University, Palo Alto, CA, United States","In conclusion, what emerges through the data is a visual speech code that tacitly leverages traditional photographic genres while at the same time supporting a system of meanings and symbols that enhance the instantaneous posts and communications of the day-to-day ebb and flow of life."
21,CCdp110,6/23/15,13:30,17:00,,7,,Posters and Demos,Choreography in the Mapping of New Instruments,poster,"Ilsar, Alon","Creativity and Cognition Studios, University of Technology, Sydney, Australia","In 2004, he was honored to become a Fellow of the World Technology Network. Since 2013, he is Distinguished Affiliated of the Fleming BSRC (Alexander Fleming Biomedical Sciences Research Center), Athens, Greece. He serves on numerous editorial boards and scientific committees. "
22,CCdp111,6/23/15,13:30,17:00,,7,,Posters and Demos,Creativity and Goal Modeling for Software Requirements Engineering,poster,"Horkoff, Jennifer","Center for Creativity and Professional Practice, City University London",
23,CCdp114,6/23/15,13:30,17:00,,7,,Posters and Demos,Decreasing the Effect of Verbal Noise in Analyzing Cognitive Activity of a Design Process,poster,"Tahsiri, Mina","Department of Architecture and Built Environment, University of Nottingham, Nottingham, United Kingdom","In studying cognitive activity in design it is common practice to use designersäó» verbalizations during a design process to elicit the reasoning behind design actions. These verbalizations are segmented in order to enable a quantifiable analysis of the cognitive processes. Researchers have shown how Shannonäó»s entropy can be applied to coded verbal data to provide a measure of creativity of those processes. We applied this method to a pilot study, investigating the effects of different design tools on creativity in the context of architectural design. Participants had to design three tasks of isomorphic nature, each with a different tool, in one design session. As shown a significant number of verbal comments were repetitions of already established ideas. Such comments brought nothing new to the sequence of activities but affected the value of information carried within that process which biased the measure of creativity. The paper regards these utterance as verbal noise. It proposes the use of corpus linguistic tools together with a coding scheme that can depict the hierarchical relationship of cognitive patterns used in the process to eliminate verbal noise from analysis. The method was applied to one participantäó»s data, which shows a promising step in increasing the veracity of using verbal data in analyzing cognitive activity. "
24,CCdp116,6/23/15,13:30,17:00,,7,,Posters and Demos,Nature Bot: Experiencing Nature in the Built Environment,poster,"McDonald, Sophie","Queen Mary University of London, London, UK","Nature Bot is a two-part, interactive art installation that uses technology to facilitate a remote exploration of nature through a remote controlled robot with video link, whilst simultaneously reflecting the exploration through a kinetic reactive sculpture within a local built environment. Attention Restoration Theory (ART) was used to design the system so that it harnesses the beneficial properties of äóÖwild nature.äó» The project presents a unique approach to using technology to mediate a sense of immersive connection to nature, providing the user with agency within an external natural environment. The results of a qualitative user experience study suggest the installation fulfilled the elements of ART necessary for an environment conducive of mental restoration and feelings of wellbeing, and that it reflected a sense of nature within the built environment."
25,CCdp117,6/23/15,13:30,17:00,,7,,Posters and Demos,_—“I could play here for hours.._—ù (thinks the visitor and leaves): Why People Disengage from Public Interactives,poster,"Bengler, Ben","Centre for Digital Music, School of Electronic Engineering and Computer Science, Queen Mary University of London","This paper examines factors that influence how long audience members actively engage with an interactive installation in public settings. The study draws on data from three field studies of an interactive multi-person installation, encompassing questionnaires,video recordings and user-system interaction data. The studies were conducted with unsolicited exhibition audiences during public exhibitions in the UK, China and Spain. In all three studies it was found that the time participants spent interacting with the installation was  largely determined by social and contextual factors rather than by how they rated their playing experience. Common triggers identified for leaving were an 'obligation to leave' to accommodate other, potentially waiting audience members, and 'leaving by necessity' in order to follow companions who were moving on."
26,CCdp118,6/23/15,13:30,17:00,,7,,Posters and Demos,[self.]: an Interactive Art Installation that Embodies Artificial Intelligence and Creativity,poster,"Tidemann, Axel","Department of Computer and Information Science, Norwegian University of Science and Technology, Trondheim, Norway","This paper describes [self.], an open source art installation that embodies artificial intelligence (AI) in order to learn, react, respond and be creative in its environment. Biologically inspired models are implemented to achieve this behaviour. The robot is built using a moving head, projector, camera and microphones. No form of knowledge or grammar have been implemented in the AI, the system starts in a ``tabula rasa'' state and learns everything via its own sensory channels, forming categories in a bottom-up fashion. The robot recognizes sounds, and is able to recognize similar sounds, link them with the corresponding faces, and use the knowledge of past experiences to form new sentences. It projects neural memories that represent an association between sound and video as experienced during interaction. "
27,CCdp124,6/23/15,13:30,17:00,,7,,Posters and Demos,Between the bottle cap and the battery: An investigation of interrupted gameplay,poster,"Chisik, Yoram","Madeira Interactive Technologies Institute, Funchal, Madeira, Portugal",In this paper we present the initial results of a pilot study designed to explore the reactions and actions of children who experience a power failure while playing a hybrid physical/digital game.  We wanted to see whether we can maintain the engagement of the children with the game if the digital component of the game (a tablet based game) ceases to function and if so whether they will continue from where they left off in the digital game or whether they will start a new round of gameplay.  Early results suggests that the power failure and the resultant interruption to gameplay did not hamper the children engagement with the game but provided them with the opportunity to re-engage with the physical elements of the game.  This suggests new directions for exploring the design of hybrid physical/digital games.
28,CCdp125,6/23/15,13:30,17:00,,7,,Posters and Demos,Playable Art: Physical Art with a Playable Digital Counterpart,poster,"Ibanez, Jesus","Madeira Interactive Technologies Institute, Funchal, Madeira, Portugal","This paper contributes an approach to create playable art consisting of physical art with a playable digital counterpart. We propose the use of Inventame, an App that allows the user to focus on the creative and artistic part. He crafts his own game in the real world with his preferred physical materials (pencils, markers, coloured wooden blocks, etc.). Then, he takes a picture of his creation, configures a few options in the App, and the picture becomes playable. This paper also describes four examples that illustrate the creation of playable art from several different kinds of art, using different materials and with different functions and playability. "
29,CCdp128,6/23/15,13:30,17:00,,7,,Posters and Demos,Remote Control of Complex Interactive Art Installations,poster,"Bluff, Andrew","Creativity and Cognition Studios, University of Technology, Sydney, Australia","Movement based interactive artworks are capable of instantly engaging audiences by reacting to physical motion consistently with real-world physics. Sustaining this engagement, however, requires a constant alteration of both the output and interaction aesthetics. Mobile devices (such as the iPad or iPhone) can be used to control the often-overwhelming plethora of parameters found in many interactive systems. The effect that mobile control of these parameters has on the inception, refinement and live performance of two separate art works is examined.  An open-source dynamic remote control system is being developed to further facilitate the creative development and performance of interactive artwork as demonstrated by these case studies."
30,CCdp130,6/23/15,13:30,17:00,,7,,Posters and Demos,How space and tool availability affect user experience and creativity in interactive surfaces?,poster,"Leftheriotis, Ioannis","Department of Computer and Information Science, Norwegian University of Science and Technology, Trondheim, Norway","As computing increasingly deals with our complex daily experiences, designers are challenged with new methods and ways of implementing complex interactions in limited user space and tools, but without hindering user experience and creativity. In this paper, we present the results of an empirical investigation regarding the effect of space and tool availability on user experience and creativity. The goal is to understand whether and how space and tool availability allow users to be more creative and improve their overall experience. To do so, we developed a connect-the-dots drawing multi-user application with a focus on having certain restrictions in size and specific tool availability. Based on this application, we conducted an empirical study with 38 users. For the evaluation, surveys, photos and observations were recorded and used in our analysis. The results showed that: (a) tool availability does not affect user creativity and experience and (b) space availability affects user creativity, collaboration and hedonic motivation (pleasure). Although our results are early, provide insights that toolsäó» limitation does not hinder usersäó» ability to be creative; and space availability is of great importance in creative activities."
31,CCdp139,6/23/15,13:30,17:00,,7,,Posters and Demos,Examine the association between users creative thinking and field dependence-independence cognitive style through eye movement components,poster,"Nisiforou, Efi","Cyprus University of Technology, Department of Multimedia and Graphic Arts","This eye tracking study investigated the association between individualsäó» field dependence - independence cognitive style and level of creative thinking based on usersäó» eye movement behaviour while interacting with a set of visual perceptual tasks. Subjects FD-I cognitive style and creativity were measured with the use of the Hidden Figures Test (HFT) and Torrance Test of Creative Thinking (TTCT). The psychometric methods and the eye tracking-derived data were statistically examined demonstrating a relationship between usersäó» cognitive style, creativity attributes and eye gaze behaviour. This research study adds further to the evidence and theory base of Human-computer interaction for applications in the user-centred design and suggests future directions for research. "
32,CCdp142,6/23/15,13:30,17:00,,7,,Posters and Demos,Scranvas: Gamified Forum for Amateur Designers to Share Creative Work and Generate Constructive Feedback,poster,"Chakraborty, Abhishek","Industrial Design Centre (IDC), IIT Bombay, Mumbai, Maharashtra, India","Feedback is important for cultivating creativity. Constructive feedback on design is crucial for helping design students and amateur designers iterate towards better solutions. However most of the current platforms donäó»t promote honest design feedback and are primarily used only for self-promotion. This paper proposes Scranvas, a community for students and non-experts to encourage sharing of creative work and generate constructive feedback. Users interpret the designs based to the context and goals stated by the designer and share feedback through annotations."
33,CCdp144,6/23/15,13:30,17:00,,7,,Posters and Demos,Sketch-Play-Learn - An augmented paper based environment for learning the concepts of optics,poster,"Tripathi, Richa","Indian Institute of Technology Guwahati, India","In this paper, we introduce Sketch-Play-Learn, an augmented paper-based tabletop system to support students learning of the principles of light behaviour. This project emphasises the use of the most ubiquitous and inexpensive learning medium, which is paper. Students engage themselves in completing a goal-based task sketched by the teacher on paper and observing the visual feedback on the same paper. We argue that augmenting the paper with digital information while providing a tabletop setup provides a novel and appealing approach to learning for classroom use. In this paper, we discuss the motivations for our project and describe the design and implementation our system. We also describe an initial evaluation with children and outline future research goals."
34,CCdp115,6/23/15,13:30,17:00,,7,,Posters and Demos,#Scanners: Integrating Physiology into Cinematic Experiences,demo,"Pike, Matthew","Mixed Reality Lab, University of Nottingham, Nottingham, United Kingdom","In this paper we present #Scanners, a digital arts installation that aims to bridge the gap between digital arts and neuroscience. #Scanners is an experience in which an individual wears a wireless brain scanners whilst being presented media which is dynamically affected by the individuals physiology. A prototype system has been successfully trialled on roughly 100 users over the past 18 months and has received unanimously positive feedback. We state the minimal additional requirements for demonstrating a Higher Fidelity prototype system and argue the value of including #Scanners at C&C2015."
35,CCdp119,6/23/15,13:30,17:00,,7,,Posters and Demos,[self.]: an Interactive Art Installation that Embodies Artificial Intelligence and Creativity,demo,"Tidemann, Axel","Department of Computer and Information Science, Norwegian University of Science and Technology, Trondheim, Norway","This demonstration paper describes [self.], an open source art installation that embodies artificial intelligence in order to learn, react, respond and be creative in its environment. Biologically inspired models are implemented to achieve this behaviour. The robot is built using a moving head, projector, camera and microphones. No form of knowledge or grammar have been implemented in the AI, the entity learns everything via its own sensory channels, forming categories in a bottom-up fashion. The robot recognizes sounds, and is able to recognize similar sounds, link them with the corresponding faces, and use the knowledge of past experiences to form new sentences. It projects neural memories that represent an association between sound and video as experienced during interaction.  "
36,CCdp120,6/23/15,13:30,17:00,,7,,Posters and Demos,The Aesthetics of Activism,demo,"Moulder, Vicki","Chemnitz University of Technology, Chemnitz, Saxony, Germany","For this demonstration the authors intend to present the Aesthetics of Activism as a work-in-progress. The artwork is designed to aggregate visual material from social networks to form themed compositions that can be explored jointly within a shared interactive space. Visual elements are programmatically arranged according to formal aesthetic criteria, while motion within the exhibition space is detected via optical sensors. Artistry built into the algorithms used for creating the visual compositions and those used to present, filter and rank content within the social web are exposed for people interested in the relationships between the cultural and computer layers inherent to the system design."
37,CCdp138,6/23/15,13:30,17:00,,7,,Posters and Demos,Drawing Apprentice: An Enactive Co-Creative Agent That Learning Through Experience in Artistic Collaboration,demo,"Davis, Nicholas","Georgia Institute of Technology , Atlanta, Georgia, United States","This paper describes a co-creative web-based drawing application called the Drawing Apprentice. This system collaborates with users in real time abstract drawing. We describe the theory, interaction design, and user experience of the Drawing Apprentice system. We evaluate the system with formative user studies and expert evaluations from a juried art competition in which a Drawing Apprentice submission won the code-based art category. "
38,CCdp154,6/22/15,13:30,17:00,,7,,Posters and Demos,Psychogeographical sound-drift,demo,"Chaparro, Ivan","Faculty of Arts, Jorge Tadeo Lozano University, Bogota, Colombia","This demo is one of the results of a practice-based research, which explored the generation of interactive experiences based on the cooperative collection of data for ethnographical purposes. In this case, a collection of soundscapes from Stockholm has lead to some experiments where the audio clips gathered are controlled in real-time according to a brain computer interface and a set of rules that determines a real time composition. \ One of the most significant inputs at this point has been the theory of Psychogeography, which posits that the territory and its transformation can be understood as an psychological and emotional setup, susceptible of being understood by means of different kinds of dynamic measurements and modes of representation.  \ The result described here is an experimental performance and sound-video installation in which the visitors can äóÖstrolläó» through a data archive, according to their brain activity, and by means of a brain scan device. The measurement of specific brain waves creates a sound and video synthesis related to the media collection.  \ This demo seeks to expose the concept and technological implementation behind the result and also to perform the interactive sound experience at the event.  \ "
39,,6/22/15,19:00,21:00,,,,Conference Dinner,Conference Dinner,event,,,
40,CCp137,6/24/15,9:00,10:30,17,8,5,Working and Learning,The Haggle-O-Tron: Re-inventing economic transactions in secondhand retail,note,"Siobhan Magee, Fionn Tynan-O'Mahony, Martin de Jode, Mark Hartswood, Eric Laurier, Chris Speed","University of Edinburgh, Edinburgh , United Kingdom","Secondhand retail in the UK charity sector plays a number of important social and economic roles: charity shops are community focal points; money is generated for good causes; and goods are re-circulated that might otherwise be discarded as abject and unwanted. However, like much of the UK high street, the prosperity of charity shops is under significant threat from the rise of internet shopping. Access to online markets via smart phones equips customers to check prices for secondhand items, some customers then deploy information, usually from eBay, to haggle with shop staff. The Haggle-o-Tron playfully subverts both normative and emerging secondhand retail valuation practices by revealing secondhand goods_Ñé financial, moral, social and aesthetic properties. This paper reports on how we employ vibrant yet uncomplicated design interventions that embed the charity's values and ethos to reconfigure store-based economic transactions. "
41,CCp227,6/24/15,9:00,10:30,18,8,5,Working and Learning,Creative Language in a Student-generated Bioorganic Chemistry Wiki Textbook,note,"Andrea Tartaro, Brian C. Goess, Mike Winiski","Furman University, Greenville SC, United States","We describe an approach to analyzing student-created content on wiki systems based on identifying creative linguistic content. We apply this approach to wiki entries written by students in an advanced chemistry course. We illustrate creative linguistic forms, how they change over time, and, based on in-depth student interviews, their value to student producers and consumers of wiki content."
42,CCp203,6/24/15,9:00,10:30,19,8,5,Working and Learning,Creativity Support to Improve Health-and-Safety in Manu-facturing Plants: Demonstrating Everyday Creativity,paper,"Konstantinos Zachos, Neil Maiden, Sergio Levis, Kasia Camargo, Gianluca Allemandi","Centre for Creativity in Professional Practice, City University, London, United Kingdom","This paper reports the development and deployment of digi-tal support for human creativity in a domain outside of the creative industries _Ñ_ health-and-safety management in man-ufacturing plants. It reports applied research to extend a risk detection and resolution process at a world-class manufac-turing plant that produces tractors with creativity techniques and new digital support for the plant employees to use these techniques effectively as part of the risk detection and reso-lution process. The development of the digital support was constrained by the plant_Ñés processes, resources and manu-facturing culture, and the new digital support reported in this paper was designed for quick use across the plant with minimum training or management overhead. The paper reports the development, implementation and early evalua-tion of the creativity techniques and digital support in the plant as a demonstrator for the wider application of creativi-ty techniques and digital support tools."
