ID,"type (keynote, long paper, short paper, ppf paper, workshop, poster, demo, tutorial, panel, etc.)",title,authors/speakers (comma delineated),session name,session chair,room name,date (MM-DD-YYYY),time (HH:MM:SS military time),endtime,keywords (comma delinated),"award (best paper, honorary mention)",abstract/blurb,,(new) authors,,(new) title
303,short paper,Intent-Aware Diversification Using a Constrained PLSA,Jacek Wasilewski and Neil Hurley,Paper Session 1 - Beyond Accuracy,Joe Konstan,Kresge,09-17-16,10:40:00,12:20:00,"intent-aware recommendation, diversity, evaluation",,"The intent-aware diversification framework was introduced initially in information retrieval and adopted to the context of recommender systems in the work of Vargas et al. The framework considers a set of aspects associated with items to be recommended. For instance, aspects may correspond to genres in movie recommendations. The framework depends on input aspect model consisting of item selection or relevance probabilities, given an aspect, and user intents, in the form of probabilities that the user is interested in each aspect. In this paper, we examine a number of input aspect models and evaluate the impact that different models have on the framework. In particular, we propose a constrained PLSA model that allows for interpretable output, in terms of known aspects, while achieving greater performance that the explicit co-occurrence counting method used in previous work. We evaluate the proposed models using a well-known MovieLens dataset for which item genres are available.",,"Jacek Wasilewski, Neil Hurley",,Intent-Aware Diversification Using a Constrained PLSA
47,long paper,Field-aware Factorization Machines for CTR Prediction,"Yuchin Juan, Yong Zhuang, Wei-Sheng Chin and Chih-Jen Lin",Paper Session 2 - Algorithms I,Xavier Amatriain,Kresge,09-17-16,14:00:00,15:40:00,"Machine learning, Click-through rate prediction, Computational advertising, Factorization machines",,"Click-through rate (CTR) prediction plays an important role in computational advertising. Models based on degree-2 polynomial mappings and factorization machines (FMs) are widely used for this task. Recently, a variant of FMs, field-aware factorization machines (FFMs), outperforms existing models in some world-wide CTR-prediction competitions. Based on our experiences in winning two of them, in this paper we establish FFMs as an effective method for classifying large sparse data including those from CTR prediction. First, we propose efficient implementations for training FFMs. Then we comprehensively analyze FFMs and compare this approach with competing models. Experiments show that FFMs are very useful for certain classification problems. Finally, we have released a package of FFMs for public use.",,"Yuchin Juan, Yong Zhuang, Wei-Sheng Chin, Chih-Jen Lin",,Field-aware Factorization Machines for CTR Prediction
198,long paper,Learning Hierarchical Feature Influence for Recommendation by Recursive Regularization,"Jie Yang, Zhu Sun, Alessandro Bozzon and Jie Zhang",Paper Session 2 - Algorithms I,Xavier Amatriain,Kresge,09-17-16,14:00:00,15:40:00,"Recommender Systems,Feature-based Recommendation,Hierarchy",,"Existing feature-based recommendation methods incorporate auxiliary features about users and/or items to address data sparsity and cold start issues. They mainly consider features that are organized in a flat structure, where features are independent and in a same level. However, auxiliary features are often organized in rich knowledge structures (e.g. hierarchy) to describe their relationships. In this paper, we propose a novel matrix factorization framework with recursive regularization -- ReMF, which jointly models and learns the influence of hierarchically-organized features on user-item interactions, thus to improve recommendation accuracy. It also provides characterization of how different features in the hierarchy co-influence the modeling of user-item interactions. Empirical results on real-world data sets demonstrate that ReMF consistently outperforms state-of-the-art feature-based recommendation methods.",,"Jie Yang, Zhu Sun, Alessandro Bozzon, Jie Zhang",,Learning Hierarchical Feature Influence for Recommendation by Recursive Regularization
340,long paper,Factorization Meets the Item Embedding: Regularizing Matrix Factorization with Item Co-occurrence,"Dawen Liang, Jaan Altosaar, Laurent Charlin and David Blei",Paper Session 2 - Algorithms I,Xavier Amatriain,Kresge,09-17-16,14:00:00,15:40:00,"Collaborative filtering, matrix factorization, item embedding, implicit feedback",,"Matrix factorization (MF) models and their extensions are standard in modern recommender systems. MF models decompose the observed user-item interaction matrix into user and item latent factors. In this paper, we propose a co-factorization model, CoFactor, which jointly decomposes the user-item interaction matrix and the item-item co-occurrence matrix with shared item latent factors. For each pair of items, the co-occurrence matrix encodes the number of users that have consumed both items. CoFactor is inspired by the recent success of word embedding models (e.g., word2vec) which can be interpreted as factorizing the word co-occurrence matrix. We show that this model significantly improves the performance over MF models on several datasets with little additional computational overhead. We provide qualitative results that explain how CoFactor improves the quality of the inferred factors and characterize the circumstances where it provides the most significant improvements.",,"Dawen Liang, Jaan Altosaar, Laurent Charlin, David M. Blei",,Factorization Meets the Item Embedding: Regularizing Matrix Factorization with Item Co-occurrence
368,long paper,Local Item-Item Models for Top-N Recommendation,Evangelia Christakopoulou and George Karypis,Paper Session 2 - Algorithms I,Xavier Amatriain,Kresge,09-17-16,14:00:00,15:40:00,"top-N recommendation, local models, SLIM, collaborative filtering",,"Item-based approaches based on SLIM (Sparse LInear Methods) have demonstrated very good performance for top-$N$ recommendation; however they only estimate a single model for all the users. This work is based on the intuition that not all users behave in the same way -- instead there exist subsets of like-minded users. By using different item-item models for these user subsets, we can capture differences in their preferences and this can lead to improved performance for top-$N$ recommendations. In this work, we extend SLIM by combining global and local SLIM models. We present a method that computes the prediction scores as a user-specific combination of the predictions derived by a global and local item-item models. We present an approach in which the global model, the local models, their user-specific combination, and the assignment of users to the local models are jointly optimized to improve the top-$N$ recommendation performance. Our experiments show that the proposed method improves upon the standard SLIM model and outperforms competing top-$N$ recommendation approaches.",,"Evangelia Christakopoulou, George Karypis",,Local Item-Item Models For Top-N Recommendation
204,short paper,Asynchronous Distributed Matrix Factorization with Similar User and Item Based Regularization,"Bikash Joshi, Franck Iutzeler and Massih-Reza Amini",Paper Session 2 - Algorithms I,Xavier Amatriain,Kresge,09-17-16,14:00:00,15:40:00,"Recommender Systems, Asynchronous Distributed Optimization, Similarity-based Regularization",,"We introduce an asynchronous distributed stochastic gradient algorithm for matrix factorization based collaborative filtering. The main idea of this approach is to distribute the user-rating matrix across different machines, each having access only to a part of the information, and to asynchronously propagate the updates of the stochastic gradient optimization across the network. Each time a machine receives a parameter vector, it averages its current parameter vector with the received one, and continues its iterations from this new point. Additionally, we introduce a similarity based regularization that constrains the user and item factors to be close to the average factors of their similar users and items found on subparts of the distributed user-rating matrix. We analyze the impact of the regularization terms on MovieLens (100K, 1M, 10M) and NetFlix datasets and show that it leads to a more efficient matrix factorization in terms of Root Mean Square Error (RMSE) and Mean Absolute Error (MAE), and that the asynchronous distributed approach significantly improves in convergence time as compared to an equivalent synchronous distributed approach.",,"Bikash Joshi, Franck Iutzeler, Massih-Reza Amini",,Asynchronous Distributed Matrix Factorization with Similar User and Item Based Regularization
253,short paper,Query-based Music Recommendations via Preference Embedding,"Chih-Ming Chen, Ming-Feng Tsai, Yu-Ching Lin and Yi-Hsuan Yang",Paper Session 2 - Algorithms I,Xavier Amatriain,Kresge,09-17-16,14:00:00,15:40:00,"recommender systems, query-based recommendation, heterogeneous preference embedding",,"A common scenario considered in recommender systems is to predict a user’s preferences on unseen items based on his/her preferences on observed items. A major limitation of this scenario is that a user might be interested in different things each time when using the system, but there is no way to allow the user to actively alter or adjust the recommended results. To address this issue, we propose the idea of “query-based recommendation” that allows a user to specify his/her search intention while exploring new items, thereby incorporating the concept of information retrieval into recommendation systems. Moreover, the idea is more desirable when the user intention can be expressed in different ways. Take music recommendation as an example: the proposed system allows a user to explore new song tracks by specifying either a track, an album, or an artist. To enable such heterogeneous queries in a recommender system, we present a novel technique called “Heterogeneous Preference Embedding” to encode user preference and query intention into low-dimensional vector spaces. Then, with simple search methods or similarity calculations, we can use the encoded representation of queries to generate recommendations. This method is fairly flexible and it is easy to add other types of information when available. Evaluations on three music listening datasets confirm the effectiveness of the proposed method over the state-of-the-art matrix factorization and network embedding methods.",,"Chih-Ming Chen, Ming-Feng Tsai, Yu-Ching Lin, Yi-Hsuan Yang",,Query-based Music Recommendations via Preference Embedding
182,long paper,Joint User Modeling across Aligned Heterogeneous Sites,Xuezhi Cao and Yong Yu,Paper Session 3 - Cold Start and Hybrid Methods,Neil Hurley,Kresge,09-17-16,16:20:00,18:00:00,"User Modeling,Recommender System,Graphical Model,",,"An accurate and comprehensive user modeling technique is crucial for the quality of recommender systems. Traditionally, we model user preferences using only actions from the target site and may suffer from cold-start problem. As nowadays people normally engage in multiple online sites for various needs, we consider leveraging the cross-site actions to improve the user modeling accuracy. Specifically, in this paper we aim at achieving a more comprehensive and accurate user modeling by modeling user’s actions in multiple aligned heterogeneous sites simultaneously. To do so, we propose a modularized probabilistic graphical model framework JUMA. We further integrate topic model and matrix factorization into JUMA for joint user modeling over text-based and item-based sites. We assemble and publish large-scale dataset for comprehensive analyzing and evaluation. Experimental results show that our framework JUMA out performs traditional within-site user modeling techniques, especially for cold-start scenarios. For cold-start users, we achieve relative improvements of 9.3% and 12.8% comparing to existing within-site approaches for recommendation in item-based and text-based sites respectively. Thus we draw the conclusion that aligning heterogeneous sites and modeling users jointly do help to improve the quality of online recommender systems.",,"Xuezhi Cao, Yong Yu",,Joint User Modeling across Aligned Heterogeneous Sites
262,long paper,Fifty shades of ratings: how to benefit from a negative feedback in top-n recommendations tasks.,Evgeny Frolov and Ivan Oseledets,Paper Session 3 - Cold Start and Hybrid Methods,Neil Hurley,Kresge,09-17-16,16:20:00,18:00:00,"Collaborative filtering, recommender systems, explicit feedback, cold-start, tensor factorization",,"Conventional collaborative filtering techniques treat a \mbox{top-$n$} recommendations problem as a task of generating a list of the most relevant items. This formulation, however, disregards an opposite -- avoiding recommendations with completely \mbox{irrelevant} items. Due to that bias, standard algorithms, as well as commonly used evaluation metrics, become insensitive to negative feedback. In order to resolve this problem we propose to treat user feedback as a categorical variable and model it with users and items in a ternary way. We employ a third-order tensor factorization technique and implement a higher order folding-in method to support online recommendations. The method is equally sensitive to entire spectrum of user ratings and is able to accurately predict relevant items even from a negative only feedback. Our method may partially eliminate the need for complicated rating elicitation process as it provides means for personalized recommendations from the very beginning of an interaction with a recommender system. We also propose a modification of standard metrics which helps to reveal unwanted biases and account for sensitivity to a negative feedback. Our model achieves state-of-the-art quality in standard recommendation tasks while significantly outperforming other methods in the cold-start ``no-positive-feedback'' scenarios.",,"Evgeny Frolov, Ivan Oseledets",,Fifty Shades of Ratings: How to Benefit from a Negative Feedback in Top-N Recommendations Tasks
267,long paper,Latent Factor Representations for Cold Start Video Recommendation,Sujoy Roy and Sharath Chandra Guntuku,Paper Session 3 - Cold Start and Hybrid Methods,Neil Hurley,Kresge,09-17-16,16:20:00,18:00:00,"Affective Computing, Personality, Likes, Videos, Emotion Prediction",,"Recommending items that have rarely/never been viewed by users is a bottleneck for collaborative filtering (CF) based recommendation algorithms. To alleviate this problem, item content representation (mostly in textual form) has been used as auxiliary information for learning latent factor representations. In this work we present a novel method for learning latent factor representation for videos based on modelling the emotional connection between user and item. First of all we present a comparative analysis of state-of-the art emotion modelling approaches that brings out a surprising finding regarding the efficacy of latent factor representations in modelling emotion in video content. Based on this finding we present a method visual-CLiMF for learning latent factor representations for cold start videos based on implicit feedback. Visual-CLiMF is based on the popular collaborative less-is-more approach but demonstrates how emotional aspects of items could be used as auxiliary information to improve MRR performance. Experiments on a new data set and the Amazon products data set demonstrate the effectiveness of visual-CLiMF which outperforms existing CF methods with or without content information.",,"Sujoy Roy, Sharat Chandra Guntuku",,Latent Factor Representations for Cold-Start Video Recommendation
323,long paper,Ask the GRU: Multi-task Learning for Deep Text Recommendations,"Trapit Bansal, David Belanger and Andrew McCallum",Paper Session 3 - Cold Start and Hybrid Methods,Neil Hurley,Kresge,09-17-16,16:20:00,18:00:00,"Recommender Systems, Deep Learning, Neural Networks, Cold Start, Multi-task Learning",,"In a variety of application domains the content to be recommended to users is associated with text. This includes research papers, movies with associated plot summaries, news articles, blog posts, etc. Recommendation approaches based on latent factor models can be extended naturally to leverage text by employing an explicit mapping from text to factors. This enables recommendations for new, unseen content, and may generalize better, since the factors for all items are produced by a compactly-parametrized model. Previous work has used topic models or averages of word embeddings for this mapping. In this paper we present a method leveraging deep recurrent neural networks to encode the text sequence into a latent vector, specifically gated recurrent units (GRUs) trained end-to-end on the collaborative filtering task. For the task of scientific paper recommendation, this yields models with significantly higher accuracy. In cold-start scenarios, we beat the previous state-of-the-art, all of which ignore word order. Performance is further improved by multi-task learning, where the text encoder network is trained for a combination of content recommendation and item metadata prediction. This regularizes the collaborative filtering model, ameliorating the problem of sparsity of the observed rating matrix.",,"Trapit Bansal, David Belanger, Andrew McCallum",,Ask the GRU: Multi-task Learning for Deep Text Recommendations
183,short paper,Addressing Cold Start for Next-song Recommendation,"Szu-Yu Chou, Yi-Hsuan Yang, Jyh-Shing Jang and Yu-Ching Lin",Paper Session 3 - Cold Start and Hybrid Methods,Neil Hurley,Kresge,09-17-16,16:20:00,18:00:00,"Next-song recommendation, content-based recommendation,matrix factorization, real-life setting, context-aware system",,"The cold start problem arises in various recommendation applications. In this paper, we propose a tensor factorization-based algorithm that exploits content features extracted from music audio to deal with the cold start problem for the emerging application next-song recommendation. Specifically, the new algorithm learns sequential behavior to predict the next song that a user would be interested in based on the last song the user just listened to. A unique characteristic of the algorithm is that it learns and updates the mapping between the audio feature space and the item latent space each time during the iterations of the factorization process. This way, the content features can be better exploited in forming the latent features for both users and items, leading to more effective solutions for cold-start recommendation. Evaluation on a large-scale music recommendation dataset shows that the recommendation result of the proposed algorithm exhibits not only higher accuracy but also better novelty and diversity, suggesting its applicability in helping a user explore new items in next-item recommendation. Our implementation is available at https://github.com/fearofchou/ALMM.",,"Szu-Yu Chou, Yi-Hsuan Yang, Jyh-Shing Roger Jang, Yu-Ching Lin",,Addressing Cold Start for Next-song Recommendation
291,short paper,Accuracy and Diversity in Cross-domain Recommendations for Cold-start Users with Positive-only Feedback,"Ignacio Fernández-Tobías, Paolo Tomeo, Iván Cantador, Tommaso Di Noia and Eugenio Di Sciascio",Paper Session 3 - Cold Start and Hybrid Methods,Neil Hurley,Kresge,09-17-16,16:20:00,18:00:00,"Cross-domain recommendation, cold-start, diversity",,"Computing useful recommendations for cold-start users is a major challenge in the design of recommender systems, and additional data is often required to compensate the scarcity of user feedback. In this paper we address such problem in a target domain by exploiting user preferences from a related auxiliary domain. Following a rigorous methodology for cold-start, we evaluate a number of recommendation methods on a dataset with positive-only feedback in the movie and music domains, both in single and cross-domain scenarios. Comparing the methods in terms of item ranking accuracy, diversity and catalog coverage, we show that cross-domain preference data is useful to provide more accurate suggestions when user feedback in the target domain is scarce or not available at all, and may lead to more diverse recommendations depending on the target domain. Moreover, evaluating the impact of the user profile size and diversity in the source domain, we show that, in general, the quality of target recommendations increases with the size of the profile, but may deteriorate with too diverse profiles.",,"Ignacio Fernández-Tobías, Paolo Tomeo, Iván Cantador, Tommaso Di Noia, Eugenio Di Sciascio",,Accuracy and Diversity in Cross-domain Recommendations for Cold-start Users with Positive-only Feedback
192,ppf paper,"HCI for Recommender Systems: the Past, the Present and the Future","André Calero Valdez, Martina Ziefle and Katrien Verbert",Paper Session 4 - User in the Loop,Ido Guy,Room 202,09-17-16,16:20:00,18:00:00,"Recommender Systems, Human-Computer Interaction, Uncertainty",,"How can you discover something new, that matches your interest? Recommender Systems have been studied since the 90ies. Their benefit comes from guiding a user through the density of the information jungle to useful knowledge clearings. Early research on recommender systems focuses on algorithms and their evaluation to improve recommendation accuracy using F-measures and other methodologies from signal-detection theory. Present research includes other aspects such as human factors that affect the user experience and interactive visualization techniques to support transparency of results and user control. In this paper, we analyze all publications on recommender systems from the scopus database, and particularly also papers with such an HCI focus. Based on an analysis of these papers, future topics for recommender systems research are identified, which include more advanced support for user control, adaptive interfaces, affective computing and applications in high risk domains.",,"André Calero Valdez, Martina Ziefle, Katrien Verbert",,"HCI for Recommender Systems: the Past, the Present and the Future"
387,ppf paper,Human-recommender systems,Olfa Nasraoui and Patrick Shafto,Paper Session 4 - User in the Loop,Ido Guy,Room 202,09-17-16,16:20:00,18:00:00,"Recommender systems, Machine learning, Human learning",,"We bring to the fore of the recommender system research community, an inconvenient truth about the current state of understanding how recommender system algorithms and humans influence one another, both computationally and cognitively. Unlike the great variety of supervised machine learning algorithms which traditionally rely on expert input labels and are typically used for decision making by an expert, recommender systems specifically rely on data input from non-expert or casual users and are meant to be used directly by these same non-expert users on an every day basis. Furthermore, the advances in online machine learning, data generation, and predictive model learning have become increasingly interdependent, such that each one feeds on the other in an iterative cycle. Research in psychology suggests that people's choices are (1) contextually dependent, and (2) dependent on interaction history. Thus, while standard methods of training and assessing performance of recommender systems rely on benchmark datasets, we suggest that a critical step in the evolution of recommender systems is the development of benchmark {\em models} of human behavior that capture contextual and dynamic aspects of human behavior. It is important to emphasize that even extensive real life user-tests may not be sufficient to make up for this gap in benchmarking validity because user tests are typically done with either a focus on user satisfaction or engagement (clicks, sales, likes, etc) with whatever the recommender algorithm suggests to the user, and thus ignore the human cognitive aspect. We conclude by highlighting the interdisciplinary implications of this endeavor.",,"Patrick Shafto, Olfa Nasraoui",,Human-Recommender Systems: From Benchmark Data to Benchmark Cognitive Models
146,long paper,Gaze Prediction for Recommender Systems,"Qian Zhao, Shuo Chang, F. Maxwell Harper and Joseph Konstan",Paper Session 4 - User in the Loop,Ido Guy,Room 202,09-17-16,16:20:00,18:00:00,"eye tracking, Hidden Markov Models, grid-based interface",,"As users browse a recommender system, they systematically consider or skip over much of the displayed content. It seems obvious that these eye gaze patterns contain a rich signal concerning these users' preferences. However, because eye tracking data is not available to most recommender systems, these signals are not widely incorporated into personalization models. In this work, we show that it is possible to predict gaze by combining easily-collected user browsing data with eye tracking data from a small number of users in a grid-based recommender interface. Our technique is able to leverage a small amount of eye tracking data to infer gaze patterns for other users. We evaluate our prediction models in MovieLens -- an online movie recommender system. Our results show that incorporating eye tracking data from a small number of users significantly boosts accuracy as compared with only using browsing data, even though the eye-tracked users are different from the testing users (e.g. AUC=0.823 vs. 0.693 in predicting whether a user will fixate on an item). We also demonstrate that Hidden Markov Models (HMMs) can be applied in this setting; they are better than linear models in predicting fixation probability and capturing the interface regularity through Bayesian inference (AUC=0.823 vs. 0.757).",,"Qian Zhao, Shuo Chang, F. Maxwell Harper, Joseph A. Konstan",,Gaze Prediction for Recommender Systems
