SessionID,Room,PaperID,PaperTitle,AuthorName,DateTime,,,,,,,,,,,
H,Social,508,Avalanche Beacon Parks: Skill Development and Team Coordination in a Technological Training Ground,"Desjardins, Audrey",Tuesday 11 - 12:30,,,,,,,,,,,
H,Social,730,First-Generation Students and College: The Role of Facebook Networks as Information Sources,"Jeon, Grace YoungJoo",Tuesday 11 - 12:30,,,,,,,,,,,
H,Work,520,The Effect of Exposure to Social Annotation on Online Informed Consent Beliefs and Behavior,"Balestra, Martina",Tuesday 11 - 12:30,,,,,,,,,,,
H,Work,267,Opportunities and Challenges Around a Tool for Social and Public Web Activity Tracking,"Zhang, Amy",Tuesday 11 - 12:30,,,,,,,,,,,
H,Work,684,Policy Matters: Untangling the HathiTrust Knot,"Centivany, Alissa",Tuesday 11 - 12:30,,,,,,,,,,,
H,Work,735,"Beyond the Belmont Principles: Ethical Challenges, Practices, and Beliefs in the Online Data Research Community","Vitak, Jessica",Tuesday 11 - 12:30,,,,,,,,,,,
H,Health/Wellness/Home,737,Time to reflect: Supporting health services over time by focusing on collaborative reflection,"Marcu, Gabriela",Tuesday 11 - 12:30,,,,,,,,,,,
H,Health/Wellness/Home,480,"The Collaborative work of Hospital Porters: Visibility, Accountability and IT Hospital Logistics","Bossen, Claus",Tuesday 11 - 12:30,,,,,,,,,,,
H,Health/Wellness/Home,494,Accounting for the Invisible Work of Hospital Orderlies: Designing for Local and Global Coordination,"Stisen, Allan",Tuesday 11 - 12:30,,,,,,,,,,,
H,Health/Wellness/Home,279,Complex Decision-Making in Clinical Practice,"Silsand, Line",Tuesday 11 - 12:30,,,,,,,,,,,
D,Crowd,283,Almost an Expert: The Effects of Rubrics and Expertise on Perceived Value of Crowdsourced Design Critiques,"Hartmann, Bjšrn",Tuesday 2:30 - 4,,,,,,,,,,,
D,Crowd,714,Storia: Summarizing Social Media Content based on Narrative Theory using Crowdsourcing,"Kim, Joy",Tuesday 2:30 - 4,,,,,,,,,,,
D,Crowd,484,BudgetMap: Issue-Driven Navigation of a Government Budget,"Kim, Nam Wook",Tuesday 2:30 - 4,,,,,,,,,,,
D,Crowd,461,Crowdsourcing Queue Estimations in Situ,"Goncalves, Jorge",Tuesday 2:30 - 4,,,,,,,,,,,
D,Social,501,Embeddedness and sequentiality in social media,"Reeves, Stuart",Tuesday 2:30 - 4,,,,,,,,,,,
D,Social,325,Sequence Analysis Methods for Analyzing Organizational Routines in Online Knowledge Collaborations,"Keegan, Brian",Tuesday 2:30 - 4,,,,,,,,,,,
D,Social,556,When the Crowd is Not Enough: Improving User Experience with Social Media through Automatic Quality Analysis,"Guy, Ido",Tuesday 2:30 - 4,,,,,,,,,,,
D,Social,407,Distinguishing between personal preferences and social influence in online activity feeds,"Sharma, Amit",Tuesday 2:30 - 4,,,,,,,,,,,
D,Work,573,Hacking as Transgressive Infrastructuring: Mobile Phone Networks and the German Chaos Computer Club,"Korn, Matthias",Tuesday 2:30 - 4,,,,,,,,,,,
D,Work,256,How and When Do Hackathons Work? Insights from a Multiple-Case Study,"Trainer, Erik",Tuesday 2:30 - 4,,,,,,,,,,,
D,Work,554,"Out of Time, Out of Place: Reflections on Design Workshops as a Social Research Method","Rosner, Daniela",Tuesday 2:30 - 4,,,,,,,,,,,
D,Work,598,"`A Farmer, a Place and at least 20 Members': The development of Artifact Ecologies in volunteer-based Communities","Korsgaard, Henrik",Tuesday 2:30 - 4,,,,,,,,,,,
D,Health/Wellness/Home,300,"Characterizing Dietary Choices, Nutrition, and Language in Food Deserts via Social Media","De Choudhury, Munmun",Tuesday 2:30 - 4,,,,,,,,,,,
D,Health/Wellness/Home,377,Quantifying and Predicting Mental Illness Severity in Online Pro-Eating Disorder Communities,"De Choudhury, Munmun",Tuesday 2:30 - 4,,,,,,,,,,,
D,Health/Wellness/Home,608,"""Hunger Hurts but Starving Works:"" Characterizing the Presentation of Eating Disorders Online","Pater, Jessica",Tuesday 2:30 - 4,,,,,,,,,,,
D,Health/Wellness/Home,327,#thyghgapp: Instagram Content Moderation and Lexical Variation in Pro-Eating Disorder Communities,"De Choudhury, Munmun",Tuesday 2:30 - 4,,,,,,,,,,,
F,Crowd,562,"Encouraging ""Outside-the-box"" Thinking in Crowd Innovation Through Identifying Domains of Expertise","Yu, Lixiu",Wednesday 9-10:30,,,,,,,,,,,
F,Crowd,558,Improving Crowd Innovation with Expert Facilitation,"Chan, Joel",Wednesday 9-10:30,,,,,,,,,,,
F,Crowd,564,Distributed Analogical Idea Generation with Multiple Constraints,"Yu, Lixiu",Wednesday 9-10:30,,,,,,,,,,,
F,Crowd,298,Social Ties in Organizational Crowdfunding: Benefits of Team-Authored Proposals,"Muller, Michael",Wednesday 9-10:30,,,,,,,,,,,
F,Social,475,Repurposing FM: Radio Nowhere to OSNs Everywhere,"Vigil, Morgan",Wednesday 9-10:30,,,,,,,,,,,
F,Social,669,Storytelling with Data: Examining the Use of Data by Non-Profit Organizations,"Erete, Sheena",Wednesday 9-10:30,,,,,,,,,,,
F,Social,666,Collaborative Analytics and Brokering in Digital Humanitarian Response,"Hellmann, Daniel",Wednesday 9-10:30,,,,,,,,,,,
F,Social,257,Early Adopters of the Internet and Social Media in Cuba,"Dye, Michaelanne",Wednesday 9-10:30,,,,,,,,,,,
F,Work,184,Embedding Intentions in Drawings: How Architects Craft and Curate Drawings to Achieve Their Goals,"Retelny, Daniela",Wednesday 9-10:30,,,,,,,,,,,
F,Work,531,Infrastructuring and the Challenge of Dynamic Seams in Mobile Knowledge Work,"Jarrahi, Mohammad Hossein",Wednesday 9-10:30,,,,,,,,,,,
F,Work,451,Understanding Energy Consumption at Work: Learning from Arrow Hill,"Bedwell, Ben",Wednesday 9-10:30,,,,,,,,,,,
F,Work,610,A Fundamentally Confused Document: Situation Reports and the Work of Producing Humanitarian Information,"Finn, Megan",Wednesday 9-10:30,,,,,,,,,,,
F,Health/Wellness/Home,162,"""Thanks for your interest in our Facebook group, but it's only for dads:"" Social Roles of Stay-at-Home Dads","Ammari, Tawfiq",Wednesday 9-10:30,,,,,,,,,,,
F,Health/Wellness/Home,229,Not at the Dinner Table: Parents' and Children's Perspectives on Family Technology Rules,"Hiniker, Alexis",Wednesday 9-10:30,,,,,,,,,,,
F,Health/Wellness/Home,171,Managing Expectations: Technology Tensions among Parents and Teens,"Blackwell, Lindsay",Wednesday 9-10:30,,,,,,,,,,,
F,Health/Wellness/Home,471,"Mom, I Do Have a Family!: Attitudes, Agreements, and Expectations Around the Interaction with Chilean Elders","Gutierrez, Francisco",Wednesday 9-10:30,,,,,,,,,,,
E,Crowd,179,TryFilm: Situated Support for Interactive Media Productions,"Schofield, Guy",Wednesday 11 - 12:30,,,,,,,,,,,
E,Crowd,316,YouthTube: Youth Video Authorship on YouTube and Vine,"Yarosh, Svetlana",Wednesday 11 - 12:30,,,,,,,,,,,
E,Crowd,423,Remixing as a Pathway to Computational Thinking,"Dasgupta, Sayamindu",Wednesday 11 - 12:30,,,,,,,,,,,
E,Crowd,182,Reality and Perception of Copyright Terms for Online Content Creation,"Fiesler, Casey",Wednesday 11 - 12:30,,,,,,,,,,,
E,Social,373,Once More with Feeling: Supportive Responses to Social Sharing on Facebook,"Burke, Moira",Wednesday 11 - 12:30,,,,,,,,,,,
E,Social,125,"Backstalking, Impression Management, and Play: How Young Adults Look Back on their Teen Facebook Use","Schoenebeck, Sarita",Wednesday 11 - 12:30,,,,,,,,,,,
E,Social,195,"""Just Cast the Net, and Hopefully the Right Fish Swim into It"": Audience Management on Social Network Sites","Litt, Eden",Wednesday 11 - 12:30,,,,,,,,,,,
E,Social,656,What's in a Like? Attitudes and behaviors around receiving Likes on Facebook,"Scissors, Lauren",Wednesday 11 - 12:30,,,,,,,,,,,
E,Work,734,Convivial Decay: Entangled Lifetimes in a Geriatric Infrastructure,"Cohn, Marisa",Wednesday 11 - 12:30,,,,,,,,,,,
E,Work,685,Citation and Attribution in Open Science: A Case Study,"Tausczik, Yla",Wednesday 11 - 12:30,,,,,,,,,,,
E,Work,435,Considering Time in Designing Large-Scale Systems for Scientific Computing,"Chen, Nan-Chen",Wednesday 11 - 12:30,,,,,,,,,,,
E,Work,652,Community-based Data Validation Practices in Citizen Science,"He, Yurong",Wednesday 11 - 12:30,,,,,,,,,,,
E,Health/Wellness/Home,180,Promoting Joint Attention with Computer Supported Collaboration in Children with Autism in India,"Sharma, Sumita",Wednesday 11 - 12:30,,,,,,,,,,,
E,Health/Wellness/Home,315,"Vulnerability, Sharing, and Privacy: Analyzing Art Therapy for Older Adults with Dementia","Cornejo, Raymundo",Wednesday 11 - 12:30,,,,,,,,,,,
E,Health/Wellness/Home,521,How Blind People Interact with Visual Content on Social Networking Services,"Voykinska, Violeta",Wednesday 11 - 12:30,,,,,,,,,,,
E,Health/Wellness/Home,466,"""Helping Others Makes Me Happy"": Social Interaction and Integration of People with Disabilities","Ding, Xianghua",Wednesday 11 - 12:30,,,,,,,,,,,
B,Crowd,493,ReLauncher: Crowdsourcing Micro-Tasks Runtime Controller,"Kucherbaev, Pavel",Wednesday 2:30 - 4,,,,,,,,,,,
B,Crowd,301,Precision CrowdSourcing: Closing the Loop to Turn Information Consumers into Information Contributors,"Zhao, Qian",Wednesday 2:30 - 4,,,,,,,,,,,
B,Crowd,513,Learnersourcing Personalized Hints,"Glassman, Elena",Wednesday 2:30 - 4,,,,,,,,,,,
B,Crowd,532,Parting Crowds: Characterizing Divergent Interpretations in Crowdsourced Annotations,"Kairam, Sanjay",Wednesday 2:30 - 4,,,,,,,,,,,
B,Social,522,Using Mobile Phones in Pub Talk,"Porcheron, Martin",Wednesday 2:30 - 4,,,,,,,,,,,
B,Social,266,Automatic Archiving versus Default Deletion: What Snapchat Tells Us About Ephemerality in Design,"Xu, Bin",Wednesday 2:30 - 4,,,,,,,,,,,
B,Social,728,Privacy Nudges for Mobile Applications: Effects on the Creepiness Emotion and other Privacy Attitudes,"Zhang, Bo",Wednesday 2:30 - 4,,,,,,,,,,,
B,Social,443,Increase Collocated People's Awareness of Mobile User's Activities: Field Trial of Social Display,"Jarusriboonchai, Pradthana",Wednesday 2:30 - 4,,,,,,,,,,,
B,Work,640,Capturing Turn-by-turn Lexical Similarity in Text-Based Communication,"Liebman, Noah",Wednesday 2:30 - 4,,,,,,,,,,,
B,Work,406,To Reply or To Reply All: Understanding Replying Behavior in Group Email Communication,"Grandhi, Sukeshini",Wednesday 2:30 - 4,,,,,,,,,,,
B,Work,254,It's (Not) Simply a Matter of Time: The Relationship Between CMC Cues and Interpersonal Affinity,"Gergle, Darren",Wednesday 2:30 - 4,,,,,,,,,,,
B,Health/Wellness/Home,284,A Day in the Life of Things in the Home,"Crabtree, Andy",Wednesday 2:30 - 4,,,,,,,,,,,
B,Health/Wellness/Home,495,Scaffolding the scaffolding: Supporting childrenså« social-emotional learning at home,"Slov‡k, Petr",Wednesday 2:30 - 4,,,,,,,,,,,
B,Health/Wellness/Home,363,Moving Western Neighborliness to East? A study on Local Exchange in Bangladesh,"Cabitza, Federico",Wednesday 2:30 - 4,,,,,,,,,,,
B,Health/Wellness/Home,212,Social Organization of Household Finance: Understanding Artful Financial Systems in the Home,"Vyas, Dhaval",Wednesday 2:30 - 4,,,,,,,,,,,
